Titre;Competences_requises;Niveau_detudes_requis;Type_de_contrat;Experience_requise;Emplacement;Description;Salaire
CONCEPTEUR UX/UI;Tests utilisateurs, Wireframing, Adaptabilité, Design d'interface, Collaboration, Prototypage, Expérience utilisateur;Bac+2;Stage;Expert;Bizerte;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;2044-5468
ADMINISTRATEUR DE BASES DE DONNEES;Performance des requêtes, Résolution des problèmes, Maintenance des bases de données, SQL, Planification des sauvegardes, Gestion de bases de données, Sécurité des données;Bac+5;Stage;Junior;Nabeul;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;3988-7119
CHEF DE PROJET INFORMATIQUE;Communication, Planification, Leadership, Gestion des ressources, Négociation, Résolution de conflits, Gestion de projet;Bac+3;CDD;Confirmé;Tunis;Nous recherchons un professionnel passionné pour rejoindre notre équipe dynamique.;2508-3576
CONSULTANT EN INFORMATIQUE;Stratégie informatique, Présentation des solutions, Orientation client, Conseil en systèmes d'information, Analyse des besoins, Gestion du changement, Esprit d'analyse;Bac+5;CDI;Expert;Tunis;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;2788-6464
EXPERT EN INTEGRATION ET DEPLOIEMENT CONTINU (CI/CD);Collaboration, Intégration continue, Outils DevOps, Automatisation des tests, Déploiement continu, Problème solving, Gestion des environnements;Bac+3;CDD;Confirmé;Sousse;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;3024-6004
DEVELOPPEUR FRONTEND;Créativité, Attention aux détails, Tests cross-navigateurs, Responsive design, JavaScript, Framework frontend, Accessibilité web, HTML/CSS;Bac+4;CDI;Junior;Tunis;Nous recherchons un professionnel passionné pour rejoindre notre équipe dynamique.;4888-8184
DEVELOPPEUR BACKEND;Framework backend, Résolution de problèmes, API REST, Architecture logicielle, Python, Java, Autonomie, Bases de données;Bac+2;CDD;Expert;Sousse;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;2174-4603
ANALYSTE DE DONNEES;Sécurité, React, Gestion de bases de données, Gestion des environnements, Gestion du stress, Conseil en systèmes d'information;Bac+5;CDD;Confirmé;Sfax;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;3901-6950
ARCHITECTE CLOUD;Créativité, C++, Tests utilisateurs, Gestion des risques, Cryptographie, Active Directory;Bac+5;Stage;Expert;Sfax;Nous recherchons un professionnel passionné pour rejoindre notre équipe dynamique.;2192-6651
DATA SCIENTIST;Analyse des vulnérabilités, Gestion du temps, Ethical hacking, HTML, Sécurité des systèmes, Esprit d'analyse;Bac+4;CDI;Expert;Tunis;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;2807-7225
SPECIALISTE EN CYBERSECURITE;Java, Cisco, Travail d'équipe, HTML, Bases de données, Gestion de bases de données;Bac+5;CDD;Junior;Nabeul;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;3830-8452
INGENIEUR DEVOPS;Tests cross-navigateurs, Planification de l'infrastructure, Orientation client, API REST, Problème solving, Travail d'équipe;Bac+2;CDD;Expert;Tunis;Nous recherchons un professionnel passionné pour rejoindre notre équipe dynamique.;2353-6233
SPECIALISTE EN CYBERSECURITE;C++, Automatisation des tests, Expérience utilisateur, Visualisation des données, Analyse prédictive, Gestion du temps;Bac+5;Stage;Expert;Bizerte;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;2461-4267
CONSULTANT EN INFORMATIQUE;Automatisation, Tests cross-navigateurs, Gestion des environnements, Java, Active Directory, Cisco;Bac+4;CDI;Junior;Tunis;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;2776-5896
SPECIALISTE EN CYBERSECURITE;Gestion des environnements, Analyse prédictive, Présentation des données, API REST, Conception orientée objet, Intégration continue;Bac+4;Stage;Confirmé;Sousse;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;2085-6915
CONSULTANT EN INFORMATIQUE;Python, Gestion de bases de données, Expérience utilisateur, Accessibilité web, Scripting, Réseaux;Bac+5;Stage;Expert;Sfax;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;4995-7205
CONCEPTEUR UX/UI;Collaboration, Intégration continue, Autonomie, JavaScript, Conception orientée objet, Déploiement continu;Bac+5;Stage;Expert;Nabeul;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;2246-4113
ADMINISTRATEUR SYSTEME;Réseaux, Attention aux détails, SQL, Prototypage, Tests cross-navigateurs, Automatisation des tests;Bac+3;CDI;Junior;Sousse;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;3235-7189
DEVELOPPEUR BACKEND;Dépannage, Collaboration, Gestion de bases de données, Négociation, Design d'interface, Travail d'équipe;Bac+3;CDD;Junior;Tunis;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;3681-6535
EXPERT EN INTEGRATION ET DEPLOIEMENT CONTINU (CI/CD);Accessibilité web, Scripting, Sécurité des systèmes, Expérience utilisateur, Android, Présentation des solutions;Bac+4;Stage;Confirmé;Bizerte;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;3645-8335
INGENIEUR RESEAU;React, Java, Prototypage, Esprit d'équipe, Planification des sauvegardes, Résolution de problèmes;Bac+4;Stage;Expert;Bizerte;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;3642-5584
EXPERT EN INTEGRATION ET DEPLOIEMENT CONTINU (CI/CD);SQL, Déploiement continu, Kotlin, Swift, Design d'interface, R;Bac+3;Stage;Expert;Nabeul;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;2791-4951
INGENIEUR LOGICIEL;Planification, Analyse prédictive, Problème solving, Responsive design, Planification de l'infrastructure, Design d'interface;Bac+5;CDD;Junior;Nabeul;Nous recherchons un professionnel passionné pour rejoindre notre équipe dynamique.;2122-5439
DEVELOPPEUR FRONTEND;C++, Analyse des besoins, Linux, Planification de l'infrastructure, Documentation technique, Big Data;Bac+2;Stage;Confirmé;Tunis;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;2834-4947
DEVELOPPEUR WEB;Cloud computing, AWS, Planification de l'infrastructure, Active Directory, Communication, Machine learning;Bac+4;Stage;Junior;Tunis;Nous recherchons un professionnel passionné pour rejoindre notre équipe dynamique.;2636-5234
DEVELOPPEUR MOBILE;Réseaux, Design d'interface, AWS, Analyse des besoins, Résolution de problèmes, Sécurité des systèmes;Bac+3;Stage;Confirmé;Sousse;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;2172-4966
EXPERT EN INTEGRATION ET DEPLOIEMENT CONTINU (CI/CD);Spring, Esprit d'équipe, Gestion du changement, Python, HTML, Linux;Bac+5;CDI;Junior;Sousse;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;2427-4903
EXPERT EN INTEGRATION ET DEPLOIEMENT CONTINU (CI/CD);Conseil en systèmes d'information, Attention aux détails, Framework frontend, Présentation des solutions, Esprit d'équipe, Résolution de problèmes;Bac+4;CDD;Confirmé;Bizerte;Nous recherchons un professionnel passionné pour rejoindre notre équipe dynamique.;2561-4423
DATA SCIENTIST;Performance des requêtes, Cisco, Prototypage, Problème solving, Gestion du temps, Active Directory;Bac+4;Stage;Expert;Nabeul;Nous recherchons un professionnel passionné pour rejoindre notre équipe dynamique.;2786-6089
DEVELOPPEUR MOBILE;Microservices, Réseaux, Stratégie informatique, Problème solving, Résolution de conflits, Sécurité des systèmes;Bac+3;CDI;Confirmé;Bizerte;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;3279-4400
CONCEPTEUR UX/UI;Automatisation, Analyse des vulnérabilités, Responsive design, CI/CD, Visualisation des données, Tests cross-navigateurs;Bac+4;Stage;Junior;Bizerte;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;4729-6883
ADMINISTRATEUR DE BASES DE DONNEES;Active Directory, Azure, Cryptographie, Performance des requêtes, Docker, Curiosité;Bac+3;CDD;Confirmé;Bizerte;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;4454-7976
ADMINISTRATEUR SYSTEME;Design patterns, Performance des requêtes, React, AWS, Analyse des vulnérabilités, Wireframing;Bac+5;Stage;Confirmé;Sfax;Nous recherchons un professionnel passionné pour rejoindre notre équipe dynamique.;4515-5812
ANALYSTE DE DONNEES;Framework frontend, iOS, Curiosité, Wireframing, Gestion des risques, Android;Bac+2;CDI;Expert;Nabeul;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;3001-7131
ADMINISTRATEUR DE BASES DE DONNEES;Bases de données, Flexibilité, Django, Visualisation des données, Planification des sauvegardes, Ethical hacking;Bac+4;Stage;Confirmé;Tunis;Nous recherchons un professionnel passionné pour rejoindre notre équipe dynamique.;4831-9081
EXPERT EN INTEGRATION ET DEPLOIEMENT CONTINU (CI/CD);Dépannage, Résolution de conflits, iOS, Adaptabilité, CI/CD, Gestion du temps;Bac+3;CDD;Expert;Bizerte;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;4329-7526
DEVELOPPEUR MOBILE;Adaptabilité, Sécurité des systèmes, Automatisation des tests, Design d'interface, Gestion des risques, Visualisation des données;Bac+2;CDD;Confirmé;Sousse;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;2103-5960
DEVELOPPEUR WEB;HTML/CSS, Visualisation des données, Swift, Flexibilité, Communication, Scripting;Bac+5;CDI;Junior;Tunis;Nous recherchons un professionnel passionné pour rejoindre notre équipe dynamique.;4203-9186
CHEF DE PROJET INFORMATIQUE;Résolution de problèmes, Conception orientée objet, SQL, Automatisation des tests, Docker, Planification de l'infrastructure;Bac+4;Stage;Confirmé;Bizerte;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;3800-6059
EXPERT EN INTEGRATION ET DEPLOIEMENT CONTINU (CI/CD);Azure, JavaScript, CI/CD, Spring, C++, Prototypage;Bac+3;CDD;Confirmé;Nabeul;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;2073-5062
DEVELOPPEUR BACKEND;Leadership, Architecture logicielle, Bases de données, Spring, Résolution de problèmes, Esprit d'équipe;Bac+3;CDD;Confirmé;Sousse;Nous recherchons un professionnel passionné pour rejoindre notre équipe dynamique.;2232-3759
DATA SCIENTIST;Collaboration, Curiosité, Expérience utilisateur, Esprit d'équipe, Tests utilisateurs, Design d'interface;Bac+4;Stage;Junior;Sfax;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;2097-6271
DEVELOPPEUR WEB;API REST, Gestion des ressources, Design d'interface, Automatisation, Présentation des données, Visualisation des données;Bac+3;CDD;Expert;Nabeul;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;2745-6315
DEVELOPPEUR MOBILE;Analyse statistique, Python, API REST, Présentation des données, React, Machine learning;Bac+5;CDD;Expert;Sousse;Nous recherchons un professionnel passionné pour rejoindre notre équipe dynamique.;4938-6086
DEVELOPPEUR FRONTEND;Leadership, Conseil en systèmes d'information, Azure, Agilité, Sécurité, Java;Bac+4;Stage;Expert;Sousse;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;2548-3646
DEVELOPPEUR BACKEND;Framework frontend, Présentation des données, Wireframing, Planification, Python, HTML;Bac+4;CDD;Expert;Sfax;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;2999-7923
ADMINISTRATEUR DE BASES DE DONNEES;Expérience utilisateur, Azure, Analyse des besoins, R, Stratégie informatique, Framework frontend;Bac+5;CDI;Junior;Nabeul;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;2126-7016
CHEF DE PROJET INFORMATIQUE;Problème solving, Responsive design, Résolution de conflits, Analyse prédictive, Intégration continue, Framework backend;Bac+4;CDI;Expert;Sousse;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;3576-7723
SPECIALISTE EN CYBERSECURITE;Linux, Dépannage, Travail d'équipe, Agilité, Déploiement continu, iOS;Bac+3;CDD;Confirmé;Sousse;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;4169-5514
CONSULTANT EN INFORMATIQUE;Analyse des vulnérabilités, Docker, Responsive design, Python, Flexibilité, Curiosité;Bac+3;CDD;Confirmé;Sfax;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;3628-5655
DEVELOPPEUR MOBILE;Curiosité, Gestion du changement, iOS, Design d'interface, Maintenance des bases de données, Python;Bac+2;Stage;Confirmé;Sfax;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;2978-5360
EXPERT EN INTEGRATION ET DEPLOIEMENT CONTINU (CI/CD);Travail d'équipe, Flexibilité, Big Data, Analyse des besoins, Problème solving, Déploiement continu;Bac+3;CDI;Junior;Nabeul;Nous recherchons un professionnel passionné pour rejoindre notre équipe dynamique.;4228-7861
INGENIEUR DEVOPS;Sécurité des données, Analyse statistique, Gestion des risques, Travail d'équipe, Design d'interface, Design patterns;Bac+3;CDI;Confirmé;Tunis;Vous aurez l'opportunité de travailler sur des projets de grande envergure et de développer vos compétences.;3292-4585
INGENIEUR DEVOPS;Architecture logicielle, HTML, Résolution de problèmes, Active Directory, Esprit d'analyse, Leadership;Bac+3;CDD;Confirmé;Tunis;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;4528-8987
EXPERT EN INTEGRATION ET DEPLOIEMENT CONTINU (CI/CD);Maintenance des bases de données, Dépannage, Résolution de problèmes, Documentation technique, Prototypage, Agilité;Bac+3;CDI;Confirmé;Bizerte;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;4015-6148
DEVELOPPEUR BACKEND;C++, Planification de l'infrastructure, Wireframing, Tests utilisateurs, Visualisation des données, HTML/CSS;Bac+5;CDI;Expert;Sfax;Rejoignez notre entreprise innovante et contribuez à nos projets excitants.;3462-5281
INGENIEUR LOGICIEL;Résolution de problèmes, Gestion de projet, Autonomie, Framework backend, CSS, Orientation client;Bac+5;CDI;Expert;Tunis;Nous recherchons un professionnel passionné pour rejoindre notre équipe dynamique.;2471-7381
